name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__per_dy__log1p__two_stage,type,Lost,22.0,18.0,3.0,2.070435288662508,0.0585345437813615,0.3048703519889841,0.0195115145937871,0.3048703519889841,0.3048703519889842,22.0,2.0703765852966103,0.3048354836075489,0.36,1.3853567039185029,0.9154357527911356,3.300321700817771,1.9799147342909595,0.7182704638465485,0.7772680568959416,2.6465611331571064,2.232746955597986,0.9154154265080998,3.299077984570426,1.97983923835358,0.9154357527911354,3.300321700817771,1.979914734290959,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,22070.0,12754.0,3.0,1.635820043796,0.0095608344413014,0.0005305330904464,0.0031869448137671,0.0005305330904464,0.0005305330904464,22070.0,1.6357784324407794,0.0005304633349232,1.0,1.635820043796,0.9998392739047824,3.300321700817771,1.6357178509230996,0.999317904278464,0.7772680568959416,2.6465611331571064,1.636509465968634,0.9998392344596948,3.299077984570426,1.6356762211775735,0.9998392739047824,3.300321700817771,1.6357178509230996,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Remaining,39.0,27.0,3.0,2.0878281131596843,0.3696006233927877,0.2265736999984267,0.1232002077975959,0.2265736999984267,0.2265736999984267,39.0,2.08777482732544,0.2265507996901751,0.54,1.5874271811062295,0.935758315955162,3.300321700817771,2.0179442032189874,0.774293409850385,0.7772680568959416,2.6465611331571064,2.213937837907299,0.9357417318857952,3.299077984570426,2.0178763008232794,0.935758315955162,3.300321700817771,2.0179442032189874,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,type,Technical,3908.0,1644.0,3.0,4.437948887621133,0.0527989423607963,0.1006910453929888,0.0175996474535987,0.1006910453929888,0.1006910453929888,3908.0,4.436942305310743,0.1006318573556376,1.0,4.437948887621133,0.970393805343666,3.300321700817771,4.3361643036356945,0.8853123737421517,0.7772680568959416,2.6465611331571064,4.232498878354276,0.9703998688021488,3.299077984570426,4.3352083621541,0.970393805343666,3.300321700817771,4.3361643036356945,,,2.0,,,,
random_forest__per_dy__log1p__two_stage,arms,2,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.1627702773527933,True,True,100.0
random_forest__per_dy__log1p__two_stage,type,__global__,25377.0,4799.0,3.0,2.38847572896778,0.2273262332110208,0.0078910404230818,0.0757754110703402,0.0078910404230818,0.0078910404230818,25377.0,2.388194767067236,0.0078878055233315,1.0,,,,,,,,,,,,,,,,,3.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,92.0,72.0,3.0,2.4938346325999903,2.019812968739419,0.1399174034398693,0.6732709895798062,0.1399174034398693,0.1399174034398693,92.0,2.49382576300857,0.1399156787622986,0.496551724137931,1.741766162394478,0.9765174238849592,5.818432428129591,2.4587555471366773,0.9209175523112508,1.6293424959319005,3.0639725404438836,2.538922533872428,0.9764956990789372,5.812853528549764,2.4587144327511803,0.9765174238849592,5.818432428129591,2.4587555471366773,,,3.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,2798.0,1437.0,3.0,3.742898368683078,0.7975595015459959,0.0636751667367218,0.2658531671819986,0.0636751667367218,0.0636751667367218,2798.0,3.742651252779242,0.0636636377786252,1.0,3.742898368683078,0.989174770146623,5.818432428129591,3.713205863377631,0.9623895437473736,1.6293424959319005,3.0639725404438836,3.7173636585213097,0.9891664337945936,5.812853528549764,3.712938558853917,0.989174770146623,5.818432428129591,3.713205863377631,,,3.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,19162.0,2644.0,3.0,1.6769179517828094,0.0444682684877645,0.0034077842500952,0.0148227561625881,0.0034077842500952,0.0034077842500952,19162.0,1.676743559515878,0.0034060193894302,1.0,1.6769179517828094,0.999414655138963,5.818432428129591,1.6765217213383896,0.997912856429144,1.6293424959319005,3.0639725404438836,1.67981293384996,0.9994143969399308,5.812853528549764,1.6763472564165434,0.999414655138963,5.818432428129591,1.6765217213383896,,,3.0,,,,
random_forest__per_dy__log1p__two_stage,type,Technical,3267.0,642.0,3.0,4.711575638928124,4.14095480014527,0.5083149404649336,1.38031826671509,0.5083149404649336,0.5083149404649335,3267.0,4.708676852140055,0.5075176934159588,0.2415349887133182,1.8964753800571312,0.919656197592436,5.818432428129591,4.413373539173355,0.7622093550584359,1.6293424959319005,3.0639725404438836,4.3197910355318365,0.9197012840555728,5.812853528549764,4.410874863060388,0.919656197592436,5.818432428129591,4.413373539173355,,,3.0,,,,
