scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-B,random_forest__multi_step__log1p__two_stage,paper,10,2.0606896381660476,7.640750157271823,7.535874100202934,1.628102230595419,5.784819910060914
S-B,random_forest__multi_step__log1p__two_stage,shift_dy_bs1,10,-0.0917991748251799,7.349527966938262,6.972978724449508,-0.5084691126957855,5.422248306056304
S-B,random_forest__multi_step__log1p__two_stage,shift_global,10,0.8937165864987493,7.481123752333161,7.153266433940095,0.47220248653794605,5.534825802760395
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_dy,10,2.4308553114773774,5.627781030424558,5.866326358045861,2.0862122818317252,5.404031878100702
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_dy_bs1,10,2.9156128863755035,5.505546099997304,5.981699806616416,2.575096024841934,5.609797938433206
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_dy_bsmean,10,2.3718138335500716,5.562777741503447,5.785805686527076,2.0312502935221675,5.397850292145436
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_dy_heur,10,3.2168406663879088,5.661399830654821,6.2605404807581575,2.879974208123532,5.975235196131638
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_dy_zcv,10,4.893763414203234,5.657463100618217,7.263272004789929,4.581408843473318,7.424826190070637
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_global,10,2.4308553114773774,5.627781030424558,5.866326358045861,2.0862122818317252,5.404031878100702
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_type,10,7.16839615758509,6.227815750617167,9.289403834119412,6.814608678428537,8.872342500670854
S-B,random_forest_poisson__multi_step__raw__two_stage,cv_type_bs1,10,6.082575210999706,6.621918960899604,8.744286754774093,5.744934823794667,8.528753222707541
S-B,random_forest_poisson__multi_step__raw__two_stage,duan,10,4.889922086380788,5.654854667969981,7.258855363977872,4.577728614239085,7.422940142536723
S-B,random_forest_poisson__multi_step__raw__two_stage,insample_global,10,5.232731732197735,5.555806962572923,7.427097231488592,4.904196772278876,7.336556416902633
S-B,random_forest_poisson__multi_step__raw__two_stage,iso_global,10,4.365054666015158,5.736941093951204,6.976743225977299,4.001424640045008,6.25529029020919
S-B,random_forest_poisson__multi_step__raw__two_stage,none,10,4.889922086380788,5.654854667969981,7.258855363977872,4.577728614239085,7.422940142536723
S-B,random_forest_poisson__multi_step__raw__two_stage,paper,10,4.889922086380788,5.654854667969981,7.258855363977872,4.577728614239085,7.422940142536723
S-B,random_forest_poisson__multi_step__raw__two_stage,shift_dy_bs1,10,2.9187534538766817,5.5048061378252475,5.9826184299227805,2.5782574218392518,5.61120412934047
S-B,random_forest_poisson__multi_step__raw__two_stage,shift_global,10,2.4353014032841442,5.6266483090745245,5.867192429045413,2.0906847288228456,5.405498956822877
S-C,chain_ladder_rbns_cohort,none,10,-0.24671796323293127,8.290864948575951,7.869273612561365,-1.7505900433627049,6.966322537804077
S-C,chain_ladder_total,none,10,-0.8955501125455327,7.663639459242126,7.325315200672799,,
S-C,random_forest__multi_step__log1p__two_stage,cv_dy,10,-12.543190379158917,5.9448089610126775,13.752756200575497,-13.847853414166073,14.601398484421523
S-C,random_forest__multi_step__log1p__two_stage,cv_dy_bs1,10,-13.263866352745097,5.778839024320558,14.352199589108029,-14.552430084404662,15.25081509963199
S-C,random_forest__multi_step__log1p__two_stage,cv_dy_bsmean,10,-12.587398096658536,5.975907705354425,13.805177161354571,-13.886774639655595,14.677597250914621
S-C,random_forest__multi_step__log1p__two_stage,cv_dy_heur,10,-12.65748819092341,5.864917288608508,13.826407220437371,-13.956498027408813,14.699946195909224
S-C,random_forest__multi_step__log1p__two_stage,cv_dy_zcv,10,-14.835705474943603,6.580291948560082,16.095601102622037,-16.13135512065083,16.873772096534562
S-C,random_forest__multi_step__log1p__two_stage,cv_global,10,-12.543190379158917,5.9448089610126775,13.752756200575497,-13.847853414166073,14.601398484421523
S-C,random_forest__multi_step__log1p__two_stage,cv_type,10,-11.330191731263145,5.504721182262251,12.475776706569647,-12.64164453601154,13.355104365228843
S-C,random_forest__multi_step__log1p__two_stage,cv_type_bs1,10,-12.62475194242579,5.218145853307727,13.560623257783439,-13.912101666847098,14.50947619768547
S-C,random_forest__multi_step__log1p__two_stage,duan,10,-6.346087090037387,6.354599844246352,8.753037565141907,-7.714789372856778,9.457792915085879
S-C,random_forest__multi_step__log1p__two_stage,insample_global,10,-13.365300542536897,6.240498368101844,14.617821194911047,-14.64690295714505,15.539694280202967
S-C,random_forest__multi_step__log1p__two_stage,iso_global,10,-14.093697269274719,5.694882100548126,15.09373435049096,-15.37347118549324,15.99639031645044
S-C,random_forest__multi_step__log1p__two_stage,none,10,-51.16348235979179,3.1479182902464573,51.25056465822193,-51.88547766649641,51.94711487561402
S-C,random_forest__multi_step__log1p__two_stage,paper,10,-11.78241559656794,5.523182312922267,12.894972115745233,-13.084331469454844,13.8018248071108
S-C,random_forest__multi_step__log1p__two_stage,shift_dy_bs1,10,-13.266610903670374,5.778025220437144,14.35444122118979,-14.55511662599451,15.253225648587776
S-C,random_forest__multi_step__log1p__two_stage,shift_global,10,-12.546351982363007,5.943877999767029,13.7552777207095,-13.850948042899901,14.60414796061762
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_dy,10,-8.848518585902521,5.666309823666203,10.353387922852155,-10.13859357166298,11.524394990496235
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_dy_bs1,10,-8.773196658369201,5.982674263862582,10.44902540044553,-10.040723383757106,11.740694031272794
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_dy_bsmean,10,-8.918196907870296,5.743825047871329,10.451153508108375,-10.202012439829032,11.651871857779367
S-C,random_forest_poisson__multi_step__raw__two_stage,cv_dy_heur,10,-8.509268685506896,5.800971799225974,10.13379494542996,-9.796724481671745,11.352719247341604
