scenario,seed,dy,n,alpha_hat,se,alpha_0,se_alpha_0,n_pool,cover
S-B,seed00,10,2018,0.2811410666662283,0.09417273406416633,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed01,1,19029,1.5251646935853465,0.0348938623113748,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed01,2,17758,1.2074141046248574,0.03153842508280526,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed01,3,15908,1.029445991926132,0.03793458832821543,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed01,4,13958,0.869275019637427,0.042904282240602415,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed01,5,11960,0.9618198349673419,0.08324187105064408,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed01,6,9963,0.9088314036453293,0.09978814616040811,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed01,7,7921,0.8637043062686509,0.11267322064869326,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed01,8,5928,0.6901437208698856,0.096423426287424,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed01,9,3994,0.4758208632490165,0.10156308091548881,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed01,10,2001,0.1982596733995648,0.07607033140952117,0.4323712164617328,0.023374213829505903,19579,0.0
S-B,seed02,1,18623,1.5457006093847756,0.03609535215986485,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed02,2,17481,1.2558347985622198,0.03553228428386308,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed02,3,15750,1.098602903949644,0.04379472717370883,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed02,4,13838,0.9913242080397366,0.047913001257626084,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed02,5,11865,0.9091272099089841,0.05817393574765053,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed02,6,9800,0.8077977656292911,0.07978153126013707,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed02,7,7844,0.6660995104189185,0.08106533723512672,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed02,8,5893,0.7254094681602715,0.1115420925311588,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed02,9,3883,0.5981835704695285,0.13721468124576358,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed02,10,1968,0.3266626947588846,0.14767997202739405,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed03,1,19009,1.5516156275860902,0.03562682970541375,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed03,2,17783,1.2543556537189275,0.036242122759446355,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed03,3,15900,1.125996170244253,0.04747267305896756,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed03,4,13945,0.9982872886085357,0.05043913958550489,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed03,5,11995,0.791444347672051,0.047288491333207526,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed03,6,10025,0.6863766074168559,0.04733308149556782,0.787205506935779,0.00940801594314051,99822,0.0
S-B,seed03,7,7975,0.6591629839473342,0.06720355143148707,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed03,8,5887,0.7712478062876906,0.11911531544815536,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed03,9,3814,0.5817134755105284,0.11411997901949639,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed03,10,1926,0.4350252312503091,0.17881363028763708,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed04,1,19205,1.5793215485855403,0.03920545541841377,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed04,2,17966,1.2004072787265025,0.03259825562971028,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed04,3,16078,1.0242314047192682,0.03794828483451939,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed04,4,14189,0.9945300093269092,0.051402837568413136,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed04,5,12166,0.8501333885263628,0.06524464850385771,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed04,6,10236,0.8134164727509966,0.08340809170614451,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed04,7,8278,0.7762569871849047,0.08526927243903183,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed04,8,6207,0.826905886690097,0.18298331809952686,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed04,9,4168,0.42933750051775604,0.08462920703410602,0.508622724145059,0.014863333129641247,39812,1.0
S-B,seed04,10,2094,0.2933093701566888,0.1994802170542866,0.4323712164617328,0.023374213829505903,19579,1.0
S-B,seed05,1,19252,1.5354680503658493,0.03296843867232738,1.512426277400761,0.0030676275146858424,190163,1.0
S-B,seed05,2,17964,1.222720985202279,0.0340134312970367,1.2430036228878367,0.003906188743953034,177676,1.0
S-B,seed05,3,16122,1.1095343954520902,0.05232868155133515,1.0468356887999262,0.005125832939800396,159581,1.0
S-B,seed05,4,14140,0.9469892059933093,0.04907761535664569,0.9518700072195705,0.006725470952215712,139747,1.0
S-B,seed05,5,12111,0.9554588430469387,0.06660821137500796,0.8713604527676473,0.008114683503376947,120084,1.0
S-B,seed05,6,10089,0.7827842050923587,0.07571347611063307,0.787205506935779,0.00940801594314051,99822,1.0
S-B,seed05,7,8127,0.6690040736250902,0.08209548884234506,0.6855268768058888,0.01066816152569502,79816,1.0
S-B,seed05,8,6132,0.6475908110107197,0.10267223672155577,0.604031262508355,0.012585708026816668,59683,1.0
S-B,seed05,9,4090,0.8363977144332476,0.22920381381587887,0.508622724145059,0.014863333129641247,39812,1.0
