scenario,seed,dy,n,n_fresh,alpha_hat,v_hat,half_width,alpha_cond,alpha_pop,cover_cond,cover_pop,rel_bias_pop
S-C,1,3,15939,16116,1.7345859512660151,0.005082280250528211,0.1397260544695625,1.6835977525365935,1.6786648909606374,1.0,1.0,0.03331281937598396
S-C,1,4,14035,14158,1.698539404261213,0.006379479492872218,0.15654554535128512,1.7126064363328946,1.7777658896826567,1.0,1.0,-0.04456519605941267
S-C,1,5,12088,12132,1.7867296632530323,0.017850590703443647,0.2618631495883759,1.6614161564411427,1.5549721383909285,1.0,1.0,0.14904287938041416
S-C,1,6,10050,10150,1.864791805703426,0.0315933405934974,0.3483741048041378,1.861294099099135,1.8150774663518632,1.0,1.0,0.027389651556571915
S-C,1,7,8070,8102,1.9256820313449918,0.04421464959443795,0.41212711108158556,1.7065177493167074,1.5974861633932003,1.0,1.0,0.20544520226370833
S-C,1,8,6013,6105,2.0111030650968713,0.09019345592896076,0.5886208005560057,1.9571741932379167,1.8205894723835692,1.0,1.0,0.10464390550598757
S-C,1,9,4025,4103,1.6986500171889254,0.12526495524556597,0.6936859283940637,1.5048894891235505,1.3557612093733042,1.0,1.0,0.25291239006175736
S-C,2,2,17850,17901,1.8938052724801597,0.0029021842448932137,0.10558703171708425,1.972108408023388,1.952480396572587,1.0,1.0,-0.0300515816678244
S-C,2,3,15888,16038,1.7735603728845137,0.005494791009795775,0.14528597107928473,1.7055546420624743,1.6731166245899394,1.0,1.0,0.060033919224962595
S-C,2,4,13910,14113,1.9440336976462802,0.015926651244039223,0.24734909521874854,1.84208556305102,1.7709479248409197,1.0,1.0,0.09773622949466931
S-C,2,5,11931,12101,1.7472810340459621,0.014526183414154268,0.23622390947430283,1.7925186549838112,1.885821532319954,1.0,1.0,-0.07346426790638994
S-C,2,6,9935,10107,1.6850743755699018,0.012980967515787815,0.2233066326033936,1.694223063496759,1.730430277963419,1.0,1.0,-0.02621076559461133
S-C,2,7,8026,8033,1.6614592380083186,0.024489588221978775,0.3067176954309733,1.7634039624591986,1.8352166554383704,1.0,1.0,-0.09467951204297842
S-C,2,8,6015,5976,1.7099483632684649,0.062227714993993176,0.4889224935051722,1.9663637792287623,2.1277550744496954,1.0,1.0,-0.19636034062298668
