scenario,name,arm,n_seeds,mean_error_pct,sd_error_pct,rmse_error_pct,mean_error_vs_oracle_pct,rmse_vs_oracle_pct
S-B,random_forest__single_model__log1p__two_stage,cv_global,10,-11.860240673357456,10.158781491085795,15.282214043626896,-12.25652669138031,14.91969297624248
S-B,random_forest__single_model__log1p__two_stage,cv_type,10,-12.778977986058468,9.379145273557224,15.571570499612704,-13.154062355016686,15.334420570805479
S-B,random_forest__single_model__log1p__two_stage,cv_type_bs1,10,-12.924716171795023,9.375646318995493,15.689511070472022,-13.299428168984075,15.457832880744101
S-B,random_forest__single_model__log1p__two_stage,duan,10,-10.990161910453121,11.43725821257752,15.44388055823501,-11.41116654025304,14.944100479318465
S-B,random_forest__single_model__log1p__two_stage,insample_global,10,-11.698273882843997,10.384694934917777,15.294028633430965,-12.096030766413012,14.917523370510953
S-B,random_forest__single_model__log1p__two_stage,iso_global,10,-11.703740059445431,9.907986371674868,15.010959527166582,-12.104380627595157,14.607502710635572
S-B,random_forest__single_model__log1p__two_stage,none,10,-52.00858682382777,6.128449642685335,52.332544453067335,-52.23703246760605,52.48976435201085
S-B,random_forest__single_model__log1p__two_stage,paper,10,-12.778977986058468,9.379145273557224,15.571570499612704,-13.154062355016686,15.334420570805479
S-B,random_forest__single_model__log1p__two_stage,shift_dy_bs1,10,-25.19626959338125,8.106684799785977,26.343851389292364,-25.50126028444362,26.435642278118397
S-B,random_forest__single_model__log1p__two_stage,shift_global,10,-11.846775401098228,10.15583448221316,15.27000209663263,-12.243070267119906,14.906939474912791
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_dy,10,-31.830305730108442,6.242176746078197,32.376483075660424,-31.992302529410335,32.66503883500082
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_dy_bs1,10,-33.08384988272226,5.597131363419435,33.50725614866037,-33.2584470581564,33.767697675230615
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_dy_bsmean,10,-32.57395960827293,5.316666305738777,32.962146336476884,-32.76547623442721,33.209248724124706
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_dy_heur,10,-32.14313298602151,5.964624209272619,32.63740286724912,-32.32098159730209,32.899858956832134
S-B,random_forest_poisson__per_dy__raw__two_stage,cv_dy_zcv,10,-32.85566044320551,5.655305603876297,33.2908194024288,-33.023689618098345,33.561444568441665
