name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
random_forest__per_dy__log1p__two_stage,type,__global__,12899.0,236.0,5.0,5.7320217708523105,8.91254599036138,3.843466471465773,1.782509198072276,3.843466471465773,3.843466471465771,12899.0,5.724019355684065,3.830651939366985,0.1122206371849738,,,,,,,,,,,,,,,,,6.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,50.0,38.0,5.0,9.02159541800942,236.0184580285929,16.079423543012734,47.20369160571858,16.079423543012734,16.07942354301273,50.0,9.021485244074912,16.078978715045245,0.0042372881355932,1.0339898110932602,0.6360846682404161,28.105094502067605,6.102413860223363,0.4929881812849129,15.6346765025495,3.911630789225645,6.430782957999993,0.6352301239747687,28.00080904114835,6.095489066055484,0.6360846682404161,28.1050945020676,6.102413860223363,,,6.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,1559.0,99.0,5.0,1.5960133587809329,0.4905558591683304,0.1398120315856141,0.098111171833666,0.1398120315856141,0.1398120315856141,1559.0,1.5956771238264933,0.139651573914104,1.0,1.5960133587809329,0.9950500090549412,28.105094502067605,1.5930630980518332,0.9911368263203548,15.6346765025495,3.911630789225645,1.6165370782425783,0.9950373387335616,28.00080904114835,1.592720980036776,0.9950500090549412,28.1050945020676,1.5930630980518332,,,6.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,9842.0,52.0,5.0,1.7748820321297174,0.442329378416279,0.2355968826793818,0.0884658756832558,0.2355968826793818,0.2355968826793818,9842.0,1.7650156026050243,0.2296770174276041,1.0,1.7748820321297174,0.991686974764272,28.105094502067605,1.768440418241911,0.9851548314915192,15.6346765025495,3.911630789225645,1.8066024274890933,0.9918642202280528,28.00080904114835,1.7587916041401264,0.991686974764272,28.1050945020676,1.768440418241911,,,6.0,,,,
random_forest__per_dy__log1p__two_stage,type,Technical,1411.0,47.0,5.0,11.559901151937112,268.25055185394905,47.93796901092709,53.65011037078981,47.93796901092709,47.9379690109271,1411.0,11.525852994759026,47.626343425288056,0.0037280875703973,1.039368236229162,0.3695944535067927,28.105094502067605,4.902880895335948,0.245934023608238,15.6346765025495,3.911630789225645,5.792600693170914,0.3702480938122747,28.00080904114835,4.897177007057753,0.3695944535067926,28.1050945020676,4.902880895335947,,,6.0,,,,
random_forest__per_dy__log1p__two_stage,arms,6,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.780904758516402,True,True,100.0
random_forest__per_dy__log1p__two_stage,type,__global__,9190.0,82.0,4.0,3.891476531328309,48.00084497603541,1.5011410385032256,12.000211244008852,1.5011410385032256,1.5011410385032256,9190.0,3.886836526618185,1.4959579550011093,0.0208333333333333,,,,,,,,,,,,,,,,,7.0,,,,
random_forest__per_dy__log1p__two_stage,type,Annuity,41.0,29.0,4.0,4.636182608679176,73.4901937281637,2.651232772189571,18.37254843204093,2.651232772189571,2.6512327721895708,41.0,4.636148743034105,2.651177370410771,0.013608634443923,1.0494834798928654,0.4570060250877429,2.231386362982208,2.66175736048565,0.3171800412222731,1.2315371118884757,1.9799794603185443,2.8224740844103016,0.4573261270731141,2.234219739480979,2.6629058221135593,0.457006025087743,2.231386362982208,2.6617573604856504,,,7.0,,,,
random_forest__per_dy__log1p__two_stage,type,Bodily,1094.0,25.0,4.0,1.191859767264768,1.774663457738053,0.2733732843393783,0.4436658644345132,0.2733732843393783,0.2733732843393782,1094.0,1.1915882019541748,0.2725708653201946,0.5,1.095929883632384,0.8908584763285754,2.231386362982208,1.1709198999342465,0.8183458064848216,1.2315371118884757,1.9799794603185443,1.3350250144998816,0.8912669990073568,2.234219739480979,1.1707562418009128,0.8908584763285754,2.231386362982208,1.1709198999342465,,,7.0,,,,
random_forest__per_dy__log1p__two_stage,type,Material,7013.0,15.0,4.0,1.9248963161262176,14.436099510455948,0.8553578274692004,3.609024877613987,0.8553578274692004,0.8553578274692004,7013.0,1.8943222373782216,0.7981325226503186,0.0694444444444444,1.0642289108420984,0.7228931927319471,2.231386362982208,1.6686012509104975,0.5901289464372986,1.2315371118884757,1.9799794603185443,1.947473302469873,0.7367942594870727,2.234219739480979,1.6589314906319088,0.7228931927319471,2.231386362982208,1.6686012509104975,,,7.0,,,,
