name,level,group,n,n_eff,K_eff,alpha_cv,s2,v_cv,v_cv_fold,v_cv_delta,v_cv_delta_cl,n_clusters,alpha_shift,v_shift,Z_heur,factor_cv_heur,Z_bs1,a_bs1,factor_cv_bs1,Z_bsmean,a_bsmean,theta_bsmean,factor_cv_bsmean,Z_shift_bs1,a_shift_bs1,factor_shift_bs1,Z_bs1_cl,a_bs1_cl,factor_cv_bs1_cl,Z_zcv,factor_cv_zcv,dev_lag,duan_S,isotonic,has_record,n_estimators_cap
hgb_gamma__per_dy__raw__two_stage,type,Bodily,2798.0,1437.0,3.0,1.4961584978829912,0.1640829185787162,0.0103765843555125,0.0546943061929054,0.0103765843555125,0.0103765843555125,2798.0,1.4961406287092929,0.010375829361555,1.0,1.4961584978829912,0.9775162648913536,0.4511385645007854,1.485003001644686,0.9421799659079204,0.1690868925941475,1.518182677108135,1.497431936676639,0.9775154102967384,0.4510881999353608,1.484985110237646,0.9775162648913536,0.4511385645007854,1.485003001644686,,,3.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Material,19162.0,2644.0,3.0,1.056580708765643,0.0157617657617456,0.0013546174783271,0.0052539219205818,0.0013546174783271,0.0013546174783271,19162.0,1.056571523497703,0.0013541774318266,1.0,1.056580708765643,0.9970063251065964,0.4511385645007854,1.0564113245183602,0.9920523029997144,0.1690868925941475,1.518182677108135,1.0602493813447644,0.9970069615500944,0.4510881999353608,1.0564022027527045,0.9970063251065964,0.4511385645007854,1.0564113245183602,,,3.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Technical,3267.0,642.0,3.0,1.6166015427399674,0.8279837678268851,0.0606506486738109,0.2759945892756283,0.0606506486738109,0.0606506486738109,3267.0,1.616436223936858,0.0606178677123929,1.0,1.6166015427399674,0.8814929132687287,0.4511385645007854,1.5435298902358463,0.7360002708348394,0.1690868925941475,1.518182677108135,1.5906189888684212,0.8815377195133812,0.4510881999353608,1.5434117830747378,0.8814929132687289,0.4511385645007854,1.5435298902358463,,,3.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,21277.0,1929.0,3.0,1.290031567317395,0.0199193533041611,0.0072060561748948,0.0066397844347203,0.0072060561748948,0.0072060561748948,21277.0,1.289974924317422,0.0072032543167601,1.0,,,,,,,,,,,,,,,,,4.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Annuity,76.0,65.0,3.0,4.483024618984731,3.9965475019059937,0.6452030016955039,1.3321825006353312,0.6452030016955039,0.6452030016955039,76.0,4.482988910407774,0.6451883748253979,0.2509652509652509,1.8741181476216504,0.8169717259301055,2.8799518137245164,3.845532634429004,0.8090792140485462,2.734224746205985,1.826280407134696,3.975796925986347,0.8169721758875387,2.8798951907693184,3.8455050287280064,0.8169717259301055,2.8799518137245164,3.845532634429004,,,4.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Bodily,2385.0,647.0,3.0,1.2707182699041302,0.0090579788876065,0.0143793445704723,0.0030193262958688,0.0143793445704723,0.0143793445704723,2385.0,1.2707051265393157,0.0143779450277666,1.0,1.2707182699041302,0.9950318938006584,2.8799518137245164,1.2693733127891444,0.99476849189786,2.734224746205985,1.826280407134696,1.2736246977262942,0.9950322777591594,2.8798951907693184,1.269360338661497,0.9950318938006584,2.8799518137245164,1.2693733127891444,,,4.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Material,16165.0,858.0,3.0,0.7731721933643988,0.0075903628851639,0.001613567412434,0.0025301209617213,0.001613567412434,0.001613567412434,16165.0,0.7732551531920682,0.0016123819303086,1.0,0.7731721933643988,0.9994400378964168,2.8799518137245164,0.7732992083401536,0.9994102109746756,2.734224746205985,1.826280407134696,0.7737933050313595,0.9994404380729084,2.8798951907693184,0.7733820309755061,0.9994400378964168,2.8799518137245164,0.7732992083401536,,,4.0,,,,
hgb_gamma__per_dy__raw__two_stage,type,Technical,2602.0,350.0,3.0,1.2540821516322844,0.1459589993381466,0.1397543031783536,0.0486529997793822,0.1397543031783536,0.1397543031783535,2602.0,1.2539975766974591,0.1396615452195868,1.0,1.2540821516322844,0.9537192369826734,2.8799518137245164,1.2423230357856585,0.951372539334171,2.734224746205985,1.826280407134696,1.281906699794784,0.9537476664852772,2.8798951907693184,1.2422495960681168,0.9537192369826734,2.8799518137245164,1.2423230357856585,,,4.0,,,,
hgb_gamma__per_dy__raw__two_stage,arms,4,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,True,True,100.0
hgb_gamma__per_dy__raw__two_stage,type,__global__,17162.0,753.0,3.0,1.9331399264329476,1.6816833198256262,0.1503086904859386,0.5605611066085421,0.1503086904859386,0.1503086904859386,17162.0,1.9326991902772757,0.1501667936452494,0.5947867298578199,,,,,,,,,,,,,,,,,5.0,,,,
