name,objective,method,structure,target,zero_handling,rmse,mae,r2,total_predicted_reserve,total_true_reserve,total_reserve_error,total_reserve_error_pct,max_ay_error_pct,runtime_seconds
lightgbm_poisson__single_model__raw__include_zeros,poisson_lgbm,lightgbm,single_model,raw,include_zeros,80812.27956829999,4768.08039307203,-0.00784589122874979,611181013.7003498,363119152.06,248061861.6403498,68.31417738036613,279.46762008236317,
random_forest__per_dy__log1p__include_zeros,mse_log1p,random_forest,per_dy,log1p,include_zeros,80353.9526597825,2292.0317944699764,0.0035536880437093687,77691940.21706948,363119152.06,-285427211.84293056,-78.60428463320712,99.61076496811647,
lightgbm_tweedie__single_model__raw__include_zeros,tweedie_lgbm,lightgbm,single_model,raw,include_zeros,79546.32702468832,5206.9169379992145,0.023483294979957714,672645573.6998163,363119152.06,309526421.63981634,85.2410069487802,351.0552766628365,
hgb_gamma__single_model__raw__two_stage,gamma_hgb,hgb,single_model,raw,two_stage,79484.35501652978,5213.515522454621,0.025004248370428805,676970874.8468845,363119152.06,313851722.7868845,86.43215897767497,377.03981438303316,
lightgbm_tweedie__single_model__raw__two_stage,tweedie_lgbm,lightgbm,single_model,raw,two_stage,79428.63526774288,5737.193425464117,0.026370743109615957,775760425.043068,363119152.06,412641272.98306805,113.6379809883686,430.18698114387144,
lightgbm_poisson__single_model__raw__two_stage,poisson_lgbm,lightgbm,single_model,raw,two_stage,80058.38525026849,5752.678677186667,0.010870699383819016,790700655.6324117,363119152.06,427581503.5724117,117.75239646455229,390.7177066235296,
random_forest__single_model__log1p__two_stage,mse_log1p,random_forest,single_model,log1p,two_stage,79388.4075697691,6500.102064053611,0.027356708568063715,937155980.9958724,363119152.06,574036828.9358723,158.0849772531473,517.8220874903544,
random_forest_poisson__single_model__raw__two_stage,poisson_rf,random_forest,single_model,raw,two_stage,78803.32123139103,6925.383903304883,0.04164048829582356,1011076351.6003157,363119152.06,647957199.5403156,178.4420336587618,873.276364090078,
random_forest__single_model__raw__two_stage,mse_raw,random_forest,single_model,raw,two_stage,78852.76564650446,6955.165786652062,0.04043748338210207,1015995155.65978,363119152.06,652876003.5997801,179.79663146269468,940.2433021223815,
random_forest_poisson__single_model__raw__include_zeros,poisson_rf,random_forest,single_model,raw,include_zeros,79080.7482595016,7133.354189140608,0.03488080271164151,1040020208.6346878,363119152.06,676901056.5746877,186.41293160511677,1431.5069650638707,
hgb_poisson__single_model__raw__two_stage,poisson_hgb,hgb,single_model,raw,two_stage,79147.47311105796,7037.4051028478525,0.03325146549744995,1040328651.9994736,363119152.06,677209499.9394736,186.4978743471991,512.4038826898238,
hgb_poisson__per_dy__raw__include_zeros,poisson_hgb,hgb,per_dy,raw,include_zeros,220624.8729054827,7651.998645614028,-6.51187512111396,1100912840.206191,363119152.06,737793688.1461911,203.18225683240243,400.5917145202874,
random_forest__single_model__raw__include_zeros,mse_raw,random_forest,single_model,raw,include_zeros,79420.78300623606,7618.027573208972,0.026563238262296562,1128292178.8265991,363119152.06,765173026.7665992,210.72229939558952,2029.961369733846,
hgb_poisson__single_model__raw__include_zeros,poisson_hgb,hgb,single_model,raw,include_zeros,438002.20451800985,25263.59334506406,-28.606836622114184,4295723006.477152,363119152.06,3932603854.417152,1083.0064545224946,25006.641252983874,
lightgbm_poisson__per_dy__raw__include_zeros,poisson_lgbm,lightgbm,per_dy,raw,include_zeros,1363182.8712561897,164769.68033871145,-285.7792042183796,27516582253.61891,363119152.06,27153463101.55891,7477.838320428829,17130.585247901494,
