scenario,variant,predictor,dy,Pbar,Qbar,Ptilde,Qtilde,alpha_Pk,EY_k,Ef_k,alpha_P,alpha_Q,between_term,identity_residual,pooled_rel_err_exact,pooled_rel_err_check,perdy_rel_err_exact,sum_Ptilde,sum_Qtilde
S-A,k=2..10,f1,8,0.0668728998745893,0.15599154779981958,0.04762621032958278,0.1419935872575449,0.6740776311742324,1130.8103570432884,1677.5669518560273,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,9,0.04458193324972621,0.17846141637789797,0.030373049189074505,0.15539807199487987,0.6162322293667354,988.912570287042,1604.7725567734224,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-A,k=2..10,f1,10,0.022290966624863105,0.2009312849559764,0.014718738390090311,0.16957469349875767,0.5617328025610924,873.6861731399038,1555.341203427201,0.9579669552208705,0.74917864549181,-0.20878830972906037,-1.1102230246251565e-16,0.27868961693642247,0.2786896169364226,0.0,1.0000000000000002,0.9999999999999999
S-B,k=1..10,f1,1,0.17485327248000546,0.0,0.26709267567304024,0.0,1.517898842339595,5880.406823899348,3874.0439480378377,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,2,0.16344070882200276,0.02095180228677642,0.2195594884328978,0.05189037271851641,1.2487190028238846,4254.348111048526,3406.9699439406595,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,3,0.14663387184475749,0.04316095568544681,0.16451616012677162,0.08927682656563785,1.053931675608464,2998.907349921552,2845.447593355802,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,4,0.12864941584524425,0.06569726571115364,0.11998059640846045,0.11295980202083888,0.959140865501459,2268.6208652894775,2365.263484111267,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,5,0.11036796114374398,0.08833207758949901,0.08585537540992394,0.12668241878279252,0.8764380948796446,1729.1077091324146,1972.8805938882213,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,6,0.09201825662141537,0.11099984233955477,0.05995497359013346,0.1333358724455503,0.789944683199288,1305.3417379618422,1652.447020309306,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,7,0.0736146052971323,0.1336857110424898,0.03992399933857261,0.13366831456846667,0.6968588835771762,958.4980238888741,1375.4549830356316,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,8,0.055210953972849225,0.15637157974542484,0.024680421369726955,0.12887200116274458,0.6052519553218577,686.1828339210845,1133.7143612467798,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,9,0.03680730264856615,0.17905744844835983,0.01328001318925689,0.11910509383094653,0.5162729155162664,472.41119980665064,915.0416099869299,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=1..10,f1,10,0.01840365132428308,0.20174331715129487,0.005156296461216029,0.10420929790450646,0.4263679857076884,302.96663239325795,710.5754713041879,1.142476746088345,0.7606600190948465,-0.381816726993498,-4.440892098500626e-16,0.5019545097793412,0.5019545097793419,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=2..10,f1,2,0.1980747221930203,0.02095180228677642,0.2995733309590305,0.05189037271851641,1.2487190028238846,4254.348111048526,3406.9699439406595,1.0056620508789471,0.7606600190948465,-0.24500203178410046,-1.6653345369377348e-16,0.3220913754289894,0.3220913754289896,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=2..10,f1,3,0.17770642111793908,0.04316095568544681,0.22447061813422234,0.08927682656563785,1.053931675608464,2998.907349921552,2845.447593355802,1.0056620508789471,0.7606600190948465,-0.24500203178410046,-1.6653345369377348e-16,0.3220913754289894,0.3220913754289896,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=2..10,f1,4,0.15591095686933676,0.06569726571115364,0.16370500392889445,0.11295980202083888,0.959140865501459,2268.6208652894775,2365.263484111267,1.0056620508789471,0.7606600190948465,-0.24500203178410046,-1.6653345369377348e-16,0.3220913754289894,0.3220913754289896,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=2..10,f1,5,0.1337555582089727,0.08833207758949901,0.11714356312207178,0.12668241878279252,0.8764380948796446,1729.1077091324146,1972.8805938882213,1.0056620508789471,0.7606600190948465,-0.24500203178410046,-1.6653345369377348e-16,0.3220913754289894,0.3220913754289896,2.220446049250313e-16,1.0,1.0000000000000002
S-B,k=2..10,f1,6,0.11151744720357705,0.11099984233955477,0.08180430403692726,0.1333358724455503,0.789944683199288,1305.3417379618422,1652.447020309306,1.0056620508789471,0.7606600190948465,-0.24500203178410046,-1.6653345369377348e-16,0.3220913754289894,0.3220913754289896,2.220446049250313e-16,1.0,1.0000000000000002
