scenario,dy,family,param,predictor,alpha_P,alpha_Q,discrepancy,cov_rho_r,identity_residual,E_Ptilde_rho,chi,sd_r,chi_bound,tv,range_r,tv_bound,ratio_chi_bound,ratio_tv_bound,rel_err_P_factor,r_min,r_max,support_P,support_Q
S-A,5,type-mix shift eps,0.5,f2,4.745485969503238,4.326044953957964,-0.41944101554527435,-0.41944101554527424,-1.1102230246251565e-16,1.0000000000000002,0.024948080841506196,24.114862998391377,0.6016195515657146,0.001873753011205297,645.9934977061349,1.2104322615459124,1.4343364841981598,2.8858223604392803,0.09695715601880694,2.2385469629047114,648.2320446690396,36,36
S-A,5,type-mix shift eps,1.0,f2,4.745485969503238,4.168346718197377,-0.5771392513058613,-0.5771392513058617,4.440892098500626e-16,1.0000000000000002,0.03432787010508947,24.114862998391377,0.8278118846108076,0.002578232385341026,645.9934977061349,1.665521356505681,1.4343364841981603,2.885822360439352,0.13845759249975442,2.2385469629047114,648.2320446690396,36,36
S-A,5,type-mix shift eps,2.0,f2,4.745485969503238,4.034735433925657,-0.7107505355775814,-0.7107505355775817,3.3306690738754696e-16,1.0,0.042274983043043286,24.114862998391377,1.0194554243423075,0.0031751090305820336,645.9934977061349,2.051099788264023,1.4343364841981603,2.885822360439343,0.17615790358924377,2.2385469629047114,648.2320446690396,36,36
S-A,5,reporting-delay scale,0.5,f2,4.745485969503238,5.7338864575226545,0.9884004880194164,0.9884004880194176,-1.2212453270876722e-15,0.9999999999999998,0.6156671341457655,24.114862998391377,14.84672859253738,0.27613485779135344,645.9934977061349,178.38132262322256,15.020964449630792,180.47474155002482,-0.17237880368605318,2.2385469629047114,648.2320446690396,36,36
S-A,5,reporting-delay scale,1.5,f2,4.745485969503238,4.620443795441736,-0.12504217406150175,-0.1250421740615015,-2.498001805406602e-16,1.0,0.3574995634987726,24.114862998391377,8.62105299575762,0.11870847879129225,645.9934977061349,76.68490542176141,68.94516238591126,613.272329894425,0.027062805998173012,2.2385469629047114,648.2320446690396,36,36
S-A,5,reporting-delay scale,2.0,f2,4.745485969503238,4.7310306876088815,-0.01445528189435663,-0.014455281894355463,-1.1674688993323912e-15,0.9999999999999999,1.447232640864259,24.114862998391377,34.89981686124176,0.19030694063371384,645.9934977061349,122.93704621772658,2414.32973194848,8504.645368813002,0.003055419177942831,2.2385469629047114,648.2320446690396,36,36
S-A,7,generator lower triangle,,f1,0.7353695048354466,0.6911518810662028,-0.044217623769243763,-0.0442176237692439,1.3877787807814457e-16,1.0,0.15773361971739436,0.6043156796461431,0.09532089960256344,0.0592586586020439,1.8296559066622546,0.10842295473211165,2.155721892700741,2.4520303329263675,0.06397671044609132,0.0012618791432923223,1.830917785805547,48,48
S-B,7,generator lower triangle,,f1,0.6968588835771762,0.8204937973866131,0.12363491380943692,0.12363491380943682,9.71445146547012e-17,1.0,0.3508535906120034,0.6028290802155114,0.2115047473189436,0.1536198289043738,1.8296559066622546,0.2810714273353325,1.7107202229698943,2.27339849784308,-0.15068354471810919,0.0012618791432923223,1.830917785805547,48,48
S-A,7,type-mix shift eps,0.25,f1,0.7353695048354466,0.8075101814224364,0.07214067658698975,0.07214067658698958,1.6653345369377348e-16,1.0,0.1265667963431092,0.6043156796461431,0.076486299552721,0.06211501531964208,1.8296559066622546,0.11364910467199957,1.0602381786715176,1.5753817409094786,-0.0893371727646991,0.0012618791432923223,1.830917785805547,48,48
S-A,7,type-mix shift eps,0.5,f1,0.7353695048354466,0.8552677502381975,0.11989824540275085,0.11989824540275075,9.71445146547012e-17,1.0,0.21035478908334615,0.6043156796461431,0.1271206973317234,0.10323553510077846,1.8296559066622546,0.1888855065745778,1.0602381786715191,1.575381740909481,-0.14018796496109953,0.0012618791432923223,1.830917785805547,48,48
S-A,7,type-mix shift eps,1.0,f1,0.7353695048354466,0.914590421264651,0.17922091642920435,0.17922091642920426,8.326672684688674e-17,1.0,0.3144331090763764,0.6043156796461431,0.19001685801474025,0.15431391132264494,1.8296559066622546,0.2823413593316327,1.0602381786715196,1.5753817409094817,-0.19595756992664148,0.0012618791432923223,1.830917785805547,48,48
S-A,7,type-mix shift eps,2.0,f1,0.7353695048354466,0.9735012565282124,0.2381317516927658,0.23813175169276585,-5.551115123125783e-17,0.9999999999999999,0.4177888861768972,0.6043156796461431,0.25247637469859674,0.20503768614719345,1.8296559066622546,0.37514841354757406,1.0602381786715203,1.5753817409094828,-0.24461370757960044,0.0012618791432923223,1.830917785805547,48,48
S-A,7,reporting-delay scale,0.5,f1,0.7353695048354466,0.6937266546734735,-0.04164285016197311,-0.04164285016197315,4.163336342344337e-17,0.9999999999999998,0.4577114488730467,0.6043156796461431,0.2766022053075361,0.195805113023627,1.8296559066622546,0.3582559815983495,6.642249611437984,8.603061034604618,0.060027749952282994,0.0012618791432923223,1.830917785805547,48,48
S-A,7,reporting-delay scale,1.5,f1,0.7353695048354466,0.7730667025461213,0.0376971977106747,0.03769719771067456,1.3877787807814457e-16,1.0,0.549122159456371,0.6043156796461431,0.3318431310006346,0.1411565080340766,1.8296559066622546,0.2582678386883662,8.802859394152438,6.851115052916324,-0.04876318898035281,0.0012618791432923223,1.830917785805547,48,48
S-A,7,reporting-delay scale,2.0,f1,0.7353695048354466,0.8088443210717683,0.07347481623632168,0.07347481623632166,2.7755575615628914e-17,1.0000000000000002,1.7473668693260602,0.6043156796461431,1.0559611972279315,0.2489985916839742,1.8296559066622546,0.4555817440251664,14.37174328999445,6.200515596525619,-0.09083925586442032,0.0012618791432923223,1.830917785805547,48,48
S-A,7,generator lower triangle,,f2,11.876473216129071,16.32507795948805,4.4486047433589775,4.44860474335898,-2.6645352591003757e-15,0.9999999999999999,0.38480565863103033,37.12818509785063,14.287135720353218,0.16010768724609778,795.6775879139957,127.3940983944635,3.2115992641696303,28.636866106084515,-0.27250128632760817,2.2385469629047114,797.9161348769004,48,48
S-B,7,generator lower triangle,,f2,12.036388740628862,16.726062759035685,4.689674018406823,4.689674018406821,1.7763568394002505e-15,0.9999999999999999,0.4706639222630249,38.621016657845466,18.177519181967167,0.19406181643792142,795.6775879139957,154.41063800953393,3.8760730725890493,32.925665494760835,-0.2803812281448834,2.2385469629047114,797.9161348769004,48,48
S-A,7,type-mix shift eps,0.25,f2,11.876473216129071,11.562137398580344,-0.3143358175487272,-0.31433581754872836,1.1657341758564144e-15,1.0,0.010743274507520618,37.12818509785063,0.3988782844722456,0.0005405548071621292,795.6775879139957,0.430107345098078,1.2689558815880502,1.3683052362666381,0.027186653013423268,2.2385469629047114,797.9161348769004,48,48
S-A,7,type-mix shift eps,0.5,f2,11.876473216129071,11.390537855486366,-0.4859353606427046,-0.48593536064270393,-6.661338147750939e-16,1.0000000000000002,0.016608151794493792,37.12818509785063,0.6166305339591657,0.000835649902113745,795.6775879139957,0.6649078984544312,1.2689558815880406,1.368305236266435,0.0426613182632678,2.2385469629047114,797.9161348769004,48,48
S-A,7,type-mix shift eps,1.0,f2,11.876473216129071,11.208102114345433,-0.668371101783638,-0.6683711017836389,8.881784197001252e-16,1.0,0.022843385381121947,37.12818509785063,0.8481334406918308,0.001149379713883056,795.6775879139957,0.9145356783397486,1.2689558815880473,1.3683052362664803,0.059632852642213185,2.2385469629047114,797.9161348769004,48,48
S-A,7,type-mix shift eps,2.0,f2,11.876473216129071,11.053643824077158,-0.8228293920519132,-0.8228293920519113,-1.887379141862766e-15,0.9999999999999999,0.028122414113051653,37.12818509785063,1.0441341965877886,0.0014149974597754656,795.6775879139957,1.1258817656985736,1.2689558815880426,1.3683052362664514,0.07443965131747943,2.2385469629047114,797.9161348769004,48,48
S-A,7,reporting-delay scale,0.5,f2,11.876473216129071,26.130582565846588,14.254109349717517,14.25410934971752,-3.552713678800501e-15,0.9999999999999999,1.0939175436363668,37.12818509785063,40.615173041917124,0.43857024290912267,795.6775879139957,348.9605130087859,2.8493658948057687,24.481397220072644,-0.5454952760352172,2.2385469629047114,797.9161348769004,48,48
S-A,7,reporting-delay scale,1.5,f2,11.876473216129071,7.895875432307746,-3.9805977838213247,-3.9805977838213233,-1.3322676295501878e-15,1.0,0.5426963773184582,37.12818509785063,20.149331549012704,0.18772802062173216,795.6775879139957,149.3709786321687,5.06188583807872,37.52476053704034,0.5041363453549199,2.2385469629047114,797.9161348769004,48,48
S-A,7,reporting-delay scale,2.0,f2,11.876473216129071,6.40070281551939,-5.475770400609681,-5.47577040060968,-8.881784197001252e-16,1.0000000000000002,1.0311732801428146,37.12818509785063,38.285592413100204,0.28519353390576196,795.6775879139957,226.92210314680503,6.9918184314005245,41.44112819659845,0.8554951789564293,2.2385469629047114,797.9161348769004,48,48
