scenario,dy,design,predictor,n,reps,n_all_zero_Y,alpha_n,alpha_P,V_n,mean_alpha_hat,sd_alpha_hat,coverage_alpha_n,coverage_alpha_n_Vn,coverage_alpha_P,mean_se_plugin,se_Vn,se_over_sd,sd_sqrtn_over_sqrtVn,bias_rel,misses_below,misses_above,mu_Y_folds,m_folds
S-A,1,blocks,f2,600,2000,0,5.257967089599016,5.257967089599014,273.41231908049485,5.265263492710249,0.6546579963303788,0.9245,0.962,0.9245,0.6305506977772672,0.6750460713666079,0.9631757365093795,0.9697975058280777,0.0013876851997924973,143,8,5414.36;5414.36;5414.36,1029.74;1029.74;1029.74
S-A,1,blocks,f1,3000,2000,0,1.512701144369873,1.512701144369873,19.50547343198326,1.5121207824438447,0.0787627013784094,0.949,0.954,0.949,0.07800105890803632,0.08063389161715905,0.9903299092458265,0.9767939981412053,-0.0003836593422225759,90,12,5414.36;5414.36;5414.36,3579.26;3579.26;3579.26
S-A,1,blocks,f2,3000,2000,0,5.257967089599016,5.257967089599014,273.41231908049485,5.2531497133100675,0.29884987063751217,0.9415,0.9585,0.9415,0.2940849626381341,0.3018897807039819,0.9840558472077854,0.9899303975796039,-0.0009162051049117349,101,16,5414.36;5414.36;5414.36,1029.74;1029.74;1029.74
S-A,1,blocks,f1,15000,2000,0,1.512701144369873,1.512701144369873,19.50547343198326,1.5124844343063268,0.03658495135165785,0.9425,0.9495,0.9425,0.03571876377556902,0.036060572589263616,0.9763239380103869,1.0145416094294175,-0.00014326032895046784,83,32,5414.36;5414.36;5414.36,3579.26;3579.26;3579.26
S-A,1,blocks,f2,15000,2000,0,5.257967089599016,5.257967089599014,273.41231908049485,5.256965396177741,0.13544911674916932,0.9445,0.9505,0.9445,0.13402575016935075,0.13500921427332158,0.9894915034222451,1.0032583144655385,-0.00019050964074235834,77,34,5414.36;5414.36;5414.36,1029.74;1029.74;1029.74
S-A,2,blocks,f1,600,2000,0,1.2095196888629767,1.209519688862977,25.19462227637761,1.2030368096694284,0.20100615860027474,0.886,0.957,0.886,0.18266457877847167,0.20491714698213034,0.9087511549420855,0.9809142941942449,-0.0053598790108514835,221,7,3833.1;3833.1;3833.1,3169.11;3169.11;3169.11
S-A,2,blocks,f2,600,2000,0,7.182296151610543,7.182296151610543,1503.0419124897574,7.400892504425274,1.7178917010524541,0.924,0.933,0.924,1.5754836108099572,1.5827412467455304,0.917102987251611,1.0853901132511858,0.030435441285126263,141,11,3833.1;3833.1;3833.1,533.688;533.688;533.688
S-A,2,blocks,f1,3000,2000,0,1.2095196888629767,1.209519688862977,25.19462227637761,1.2077157462419503,0.09124450924202626,0.9285,0.9495,0.9285,0.08752576246165063,0.09164173408147187,0.9592441582373834,0.9956654591554056,-0.0014914537048356458,127,16,3833.1;3833.1;3833.1,3169.11;3169.11;3169.11
S-A,2,blocks,f2,3000,2000,0,7.182296151610543,7.182296151610543,1503.0419124897574,7.206929226421206,0.6988432407605718,0.952,0.9505,0.952,0.697642580910186,0.7078234037031548,0.9982819325131069,0.9873129895174405,0.003429693553521802,83,13,3833.1;3833.1;3833.1,533.688;533.688;533.688
S-A,2,blocks,f1,15000,2000,0,1.2095196888629767,1.209519688862977,25.19462227637761,1.209343990023305,0.041851905456980434,0.946,0.949,0.946,0.04049176834476506,0.040983429396426074,0.9675011902716483,1.0211909074800387,-0.00014526331509071236,85,23,3833.1;3833.1;3833.1,3169.11;3169.11;3169.11
S-A,2,blocks,f2,15000,2000,0,7.182296151610543,7.182296151610543,1503.0419124897574,7.2036714324910065,0.31799207019359776,0.9505,0.948,0.9505,0.31622895258713335,0.3165482493491061,0.9944554667498752,1.0045611398813943,0.0029761068646091057,66,33,3833.1;3833.1;3833.1,533.688;533.688;533.688
S-A,3,blocks,f1,600,2000,0,1.0076499055018873,1.007649905501887,30.827424558220685,1.0119774421841394,0.2353301438076796,0.8855,0.956,0.8855,0.20425372591701693,0.2266694530155482,0.8679454429940796,1.0382084602795478,0.004294682764939791,225,4,2743.24;2743.24;2743.24,2722.42;2722.42;2722.42
S-A,3,blocks,f2,600,2000,0,5.0803958425833,5.080395842583299,1045.8676825304763,5.300303045889347,1.4933465596224698,0.921,0.935,0.921,1.323115131789303,1.3202699739892068,0.8860067499159722,1.1310918138282815,0.04328544666988536,155,3,2743.24;2743.24;2743.24,539.967;539.967;539.967
S-A,3,blocks,f1,3000,2000,0,1.0076499055018873,1.007649905501887,30.827424558220685,1.006494212525419,0.09964940541484579,0.9265,0.9535,0.9265,0.0962938548877268,0.10136966107309209,0.9663264370404454,0.9830298765919133,-0.0011469191533269698,135,12,2743.24;2743.24;2743.24,2722.42;2722.42;2722.42
S-A,3,blocks,f2,3000,2000,0,5.0803958425833,5.080395842583299,1045.8676825304763,5.111827864638534,0.5984090942003044,0.943,0.944,0.943,0.578837459248424,0.590442682098349,0.9672938878410006,1.0134922700263536,0.006186923820339772,97,17,2743.24;2743.24;2743.24,539.967;539.967;539.967
S-A,3,blocks,f1,15000,2000,0,1.0076499055018873,1.007649905501887,30.827424558220685,1.005667304567227,0.04592623825824252,0.939,0.9525,0.939,0.04455755981480674,0.04533389060310963,0.9701983333418313,1.0130663317719362,-0.0019675493679252574,105,17,2743.24;2743.24;2743.24,2722.42;2722.42;2722.42
