kind,scenario,dy,group,n,empirical,analytic,se,z,quad_rel_err,expected_active,normal_approx_ok
"upper E[Y|c,k,r]",S-A,10.0,Material r=1,14999,0.0019990117033284933,0.0006706153781789755,0.002434222974439585,0.5457167807132975,,0.2753833302057425,False
"upper P(Y>0|c,k,r)",S-A,10.0,Material r=1,14999,6.667111140742716e-05,1.8293186789847508e-05,3.4922840428529655e-05,1.3852803501647042,,0.2753833302057425,False
"upper E[Y|c,k,r]",S-A,10.0,Technical r=1,1437,0.0,0.005768195182264402,0.028114849286894315,-0.2051654313848033,,0.15076040462878057,False
"upper P(Y>0|c,k,r)",S-A,10.0,Technical r=1,1437,0.0,0.00010478962680699215,0.00027002750696387035,-0.3880701932378059,,0.15076040462878057,False
"upper E[Y|c,k,r]",S-A,10.0,Bodily r=1,2411,282.1879917362655,198.32134607643545,42.91275349212649,1.9543524671568242,,73.9094070468058,True
"upper P(Y>0|c,k,r)",S-A,10.0,Bodily r=1,2411,0.03442554956449606,0.030655083802071464,0.00351068462383946,1.073997287258753,,73.9094070468058,True
"upper E[Y|c,k,r]",S-A,10.0,Bodily r=2,486,582.8782010905924,330.06424155696357,132.6532561903452,1.9058255092574892,,21.340975585652544,True
"upper P(Y>0|c,k,r)",S-A,10.0,Bodily r=2,486,0.043209876543209874,0.04391147239845952,0.009294369173530066,-0.07548611876185861,,21.340975585652544,True
"upper E[Y|c,k,r]",S-A,10.0,Bodily r=3,96,663.7179695213182,551.6542036090219,414.7520076772698,0.27019463158210016,,6.0640876228074685,True
"upper P(Y>0|c,k,r)",S-A,10.0,Bodily r=3,96,0.07291666666666667,0.06316757940424317,0.024828041169137224,0.3926643747692112,,6.0640876228074685,True
"upper E[Y|c,k,r]",S-A,10.0,Annuity r=1,355,28093.436494692007,25630.444415650334,3796.429532328454,0.6487653881280004,,140.98724754769177,True
"upper P(Y>0|c,k,r)",S-A,10.0,Annuity r=1,355,0.3436619718309859,0.397147176190681,0.025969716742827092,-2.0595220536807695,,140.98724754769177,True
"upper E[Y|c,k,r]",S-A,10.0,Annuity r=2,131,46500.21932779998,28364.390436812744,6344.552925576431,2.858488076894641,,60.52783804729913,True
"upper P(Y>0|c,k,r)",S-A,10.0,Annuity r=2,131,0.48854961832061067,0.46204456524655824,0.04355915386331113,0.6084841123687902,,60.52783804729913,True
"upper E[Y|c,k,r]",S-A,10.0,Annuity r=3,59,37013.86635538966,31560.281601876824,9599.311687592892,0.568122479089995,,31.88734639053994,True
"upper P(Y>0|c,k,r)",S-A,10.0,Annuity r=3,59,0.5254237288135594,0.5404634981447447,0.0648809477294323,-0.23180563566833912,,31.88734639053994,True
"lower P(c,r|k)",S-A,2.0,Material r=1,18991,0.7865831183192038,0.7824309024563161,0.002993971663672615,1.3868587713333234,,,
"lower P(c,r|k)",S-A,2.0,Technical r=1,18991,0.06961192143646991,0.07293725909441946,0.001886928161006334,-1.7623022045397276,,,
"lower P(c,r|k)",S-A,2.0,Bodily r=1,18991,0.126744247275025,0.12693552167899697,0.0024156879258676748,-0.07918009686754608,,,
"lower P(c,r|k)",S-A,2.0,Annuity r=1,18991,0.01706071296930125,0.01769631677026741,0.000956732244683513,-0.6643486769659547,,,
lower P(a|k),S-A,2.0,AY 10,18991,1.0,1.0,0.0,,,,
lower E[Y|k],S-A,2.0,all,18991,3064.5786053632514,3235.191219720818,113.09337137458226,-1.5085995959256706,,,
lower E[oracle|k],S-A,2.0,all,18991,3199.97375165252,3235.191219720818,56.58109187518991,-0.6224246811281542,,,
lower P(Y>0|k),S-A,2.0,all,18991,0.4399978937391396,0.4417924751241826,0.0036035710034676522,-0.49800083953281926,,,
"lower E[Y|c,k,r]",S-A,2.0,Material r=1,14938,795.0723637639273,804.8974084468763,18.493826598982395,-0.5312607766901825,,5871.507074495541,True
"lower P(Y>0|c,k,r)",S-A,2.0,Material r=1,14938,0.39014593653768914,0.3930584464702435,0.003996278762828881,-0.7288054976657011,,5871.507074495541,True
"lower E[Y|c,k,r]",S-A,2.0,Technical r=1,1322,600.3481218371599,611.5058162028361,43.98957207179376,-0.25364407608844536,,589.0752324631983,True
"lower P(Y>0|c,k,r)",S-A,2.0,Technical r=1,1322,0.4394856278366112,0.4455939723246926,0.013669980587151416,-0.44684368416899617,,589.0752324631983,True
