scenario,dy,design,learner,n,reps,n_defined,n_undefined,alpha_inf,V_inf,mbar_inf,mean_alpha_hat,mean_alpha_n,mean_alpha_pop,coverage_alpha_n,coverage_alpha_n_V,coverage_alpha_inf,coverage_alpha_inf_V,coverage_alpha_pop,mean_se_plugin,se_V,sd_alpha_hat,sd_alpha_hat_minus_alpha_n,sd_alpha_hat_minus_alpha_inf,se_over_sd,sd_sqrtn_over_sqrtV,mean_sqrtn_centring_bias,sd_sqrtn_centring_bias,mean_sqrtn_centring_bias_rel,mean_rel_centring_bias,mean_gap_pop_minus_n_over_se,mean_gap_inf_minus_n_over_se,mean_alpha_hat_over_alpha_inf,frac_fallback_cells,misses_below_n,misses_above_n
S-A,3,random,log,15000,2000,2000,0,5.0803958425833,1045.8676825304763,539.9666172472661,4.931373927114993,4.9304283919581255,4.99529335249769,0.9465,0.9495,0.7275,0.7585,0.9195,0.26002315107005597,0.2640539947978413,0.41902874668700674,0.2633958107478955,0.41902874668700674,0.9871954695548761,0.997507388401945,2521.1293677609065,5901.066929003512,4.669046728506198,0.03812260690017096,0.24753893477228453,0.6976044909029565,0.9706672629287618,8.400000000000002e-05,78,29
S-A,3,random,raw,15000,2000,2000,0,1.0,28.851295398433248,2743.2441573967785,1.000129262452479,1.0024571812649021,1.0023335676471303,0.9455,0.9485,1.0,1.0,0.9445,0.043582260529366534,0.04385680897225519,0.004375312434854143,0.04381956820655837,0.004375312434854143,0.9945844359745124,0.9991508555553967,-177.0496418410142,14797.353263517836,-0.06454024202097525,-0.000526968869423742,-0.002895440531583367,-0.11978342976908693,1.000129262452479,8.400000000000002e-05,86,23
S-A,4,random,log,600,2000,2000,0,3.797344720135092,700.4556829606787,574.2025915665988,3.1844565985718507,3.1484495981929177,3.3792903350214463,0.8845,0.9175,0.6725,0.9145,0.822,1.0385019469038541,1.0804749595746297,1.4982036762109145,1.3622917507424261,1.4982036762109148,0.7623197793995948,1.260826767590009,5457.417007065819,7762.224250488581,9.504340605945945,0.3880130804363707,0.2912483341871584,1.1146593619804281,0.8386008733119606,0.00584,228,3
S-A,4,random,raw,600,2000,2000,0,1.0,41.65258071435319,2180.4451793733106,1.0876150554630666,1.1457877601342927,1.1174443368455118,0.864,0.888,0.9995,0.984,0.871,0.2680491881813851,0.26347859088976344,0.1522379411947632,0.32471832617404717,0.1522379411947632,0.8254821689297336,1.2324277470798597,-3386.562464610219,14338.975749880941,-1.5531518502031605,-0.0634071587676226,-0.09701350371313422,-0.7155846059988423,1.0876150554630666,0.00584,269,3
S-A,4,random,log,3000,2000,2000,0,3.797344720135092,700.4556829606787,574.2025915665988,3.360923018452029,3.371121279250211,3.5050415833481092,0.9255,0.9465,0.666,0.7735,0.864,0.44586035551281744,0.4832030915190419,0.6010833537269304,0.47199581405847363,0.6010833537269304,0.9446277747234039,0.9768062794769462,5108.748202481851,6514.901054243001,8.897117981553576,0.16243840717605756,0.3070398120136318,1.2051263638474732,0.8850718768383142,0.0009031666666666667,127,22
S-A,4,random,raw,3000,2000,2000,0,1.0,41.65258071435319,2180.4451793733106,1.0097465364796174,1.0243012512358913,1.0206052521422777,0.9215,0.9465,1.0,1.0,0.9235,0.11429898445411547,0.11783120796907356,0.030499558534073094,0.1190016816280057,0.030499558534073094,0.9604820947943352,1.0099334775489983,-1271.0703337203208,13830.488141284715,-0.5829407433603279,-0.010642993160909381,-0.03150401536171989,-0.3169369546293652,1.0097465364796174,0.0009031666666666667,146,11
S-A,4,random,log,15000,2000,2000,0,3.797344720135092,700.4556829606787,574.2025915665988,3.66448811711862,3.669886463057879,3.7185100890250333,0.9415,0.952,0.7465,0.7925,0.9125,0.20994871806616824,0.21609499191492595,0.3012998130701565,0.21595606704692757,0.3012998130701565,0.9721825412783892,0.9993571120424064,2971.9762646420168,6207.135094754221,5.175832203288328,0.042260492974405386,0.23262922900314542,0.7166103337528799,0.965013288808885,0.00015380000000000005,90,27
S-A,4,random,raw,15000,2000,2000,0,1.0,41.65258071435319,2180.4451793733106,1.00097184865385,1.0051270593295087,1.0045157864699537,0.935,0.9435,1.0,1.0,0.9335,0.05191179100927961,0.05269571817795268,0.00675526599164585,0.0528180782323541,0.0067552659916458495,0.9828413442252176,1.0023220113252505,-627.8294192151837,14040.689705272067,-0.28793634673981133,-0.002350990426378761,-0.011714071854585574,-0.16991895507654547,1.00097184865385,0.00015380000000000005,112,18
S-A,5,random,log,600,2000,2000,0,4.745485969503238,1525.1596303712322,381.0297386389841,4.071211828766854,3.6437013579337245,4.1550430890961545,0.878,0.9045,0.5525,0.8685,0.765,1.6823177049163887,1.5943439770906989,10.117361097542696,9.966859846615407,10.117361097542696,0.16879114694159947,6.251386143661778,6275.219893626875,8160.51299045983,16.46910793903277,0.6723485161574964,0.5264836679084575,1.7920248513781856,0.8579125204310808,0.0070483333333333335,230,14
S-A,5,random,raw,600,2000,2000,0,1.0,57.39540078171208,1808.1712786747848,1.1284357640279754,1.2025161845266503,1.166635947662822,0.864,0.8785,0.9995,0.9695,0.8715,0.32693894422588893,0.3092878938834391,0.22342157216395317,0.4023361455808832,0.22342157216395317,0.8126014722188641,1.3008467306273266,-3748.745153361109,13660.208903198438,-2.0732245875006803,-0.08463903935948004,-0.09592330926353375,-0.7836641992244577,1.1284357640279754,0.0070483333333333335,270,2
