scenario,dy,weighting,predictor,n,reps,n_folds,w_realised,w_nominal,alpha_w,alpha_w_nominal,alpha_P,alpha_equal_weight,V_w,mean_alpha_hat,sd_alpha_hat,coverage_alpha_w,coverage_alpha_w_Vw,coverage_alpha_P,coverage_alpha_equal,mean_se_plugin,se_Vw,se_over_sd,sd_sqrtn_over_sqrtVw
S-B,3,proportional,f1,600,2000,225;225;150,0.375000;0.375000;0.250000,0.375686;0.374863;0.249452,1.054084977093879,1.053931675608464,1.053931675608464,1.0685036501146659,32.10059776343902,1.047288678879927,0.22799083328318606,0.8875,0.962,0.8875,0.8735,0.20151834294360768,0.23130282374497368,0.8838879179554686,0.98568114989621
S-B,3,proportional,f2,600,2000,225;225;150,0.375000;0.375000;0.250000,0.375686;0.374863;0.249452,4.529347661687549,4.530248517922036,4.530248517922035,4.447303884812352,730.5899483557828,4.649771875585584,1.150060579349834,0.921,0.947,0.9205,0.934,1.0601251332049737,1.1034717549290987,0.9217993836501173,1.0422202237734022
S-B,3,proportional,f1,3000,2000,1127;1125;748,0.375667;0.375000;0.249333,0.375686;0.374863;0.249452,1.0539209462059538,1.053931675608464,1.053931675608464,1.0685036501146659,32.105288550833016,1.0551703622873179,0.10652123350124082,0.9255,0.9405,0.9255,0.911,0.09907218786455489,0.10344932503538953,0.9300698518798212,1.0296948140048319
S-B,3,proportional,f2,3000,2000,1127;1125;748,0.375667;0.375000;0.249333,0.375686;0.374863;0.249452,4.530311591093286,4.530248517922036,4.530248517922035,4.447303884812352,731.3305849808543,4.55681891038163,0.5072711747502113,0.932,0.942,0.932,0.9375,0.4828358409614208,0.49373764456468655,0.9518298397285774,1.0274103672962933
S-B,3,proportional,f1,15000,2000,5635;5623;3742,0.375667;0.374867;0.249467,0.375686;0.374863;0.249452,1.0539358959857104,1.053931675608464,1.053931675608464,1.0685036501146659,32.104859272876624,1.0520326372923094,0.048099845380708627,0.937,0.945,0.937,0.904,0.04535766851765463,0.04626363530382268,0.9429899027460533,1.039690138157695
S-B,3,proportional,f2,15000,2000,5635;5623;3742,0.375667;0.374867;0.249467,0.375686;0.374863;0.249452,4.530223709118657,4.530248517922036,4.530248517922035,4.447303884812352,731.262977590879,4.530492802400075,0.22002704283079916,0.9445,0.955,0.9445,0.954,0.2182711296079459,0.22079598087991834,0.9920195572314101,0.9965174273279124
S-B,4,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,0.9871272861347304,0.9871448498523645,0.959140865501459,0.9931701820974386,39.66216436380324,0.9799391746167072,0.2539465944237415,0.863,0.955,0.884,0.858,0.22113489676337053,0.25710621788087,0.8707929211067876,0.9877108244087954
S-B,4,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,3.4793621824041723,3.4793121641241505,3.5633711836326905,3.4623409472113975,512.0494948660164,3.5426158567758956,0.9755627709838731,0.8885,0.9505,0.871,0.8925,0.8417075113199393,0.9238050794278487,0.8627917509306569,1.0560266366884234
S-B,4,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,0.9871112010912292,0.9871448498523645,0.959140865501459,0.9931701820974386,39.662871987878866,0.9906668254074744,0.11169941035580425,0.9295,0.9575,0.9465,0.9245,0.10985360049367872,0.11498242182739479,0.9834752049608325,0.9714477098376062
S-B,4,data,f2,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,3.4794079925118067,3.4793121641241505,3.5633711836326905,3.4623409472113975,512.0910817127922,3.503171261186075,0.40921742568700226,0.929,0.9565,0.9045,0.9345,0.39877671343200377,0.41315496758189585,0.9744861494168524,0.9904695762998106
S-B,4,data,f1,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,0.9871434841665259,0.9871448498523645,0.959140865501459,0.9931701820974386,39.66143286977683,0.9876534829579987,0.05177410289321267,0.942,0.9495,0.9375,0.9345,0.050544482571427504,0.051420769389924424,0.9762502824178076,1.0068714161122116
S-B,4,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,3.479316053234167,3.4793121641241505,3.5633711836326905,3.4623409472113975,512.0074666745796,3.4832657914413607,0.18372379545554784,0.9425,0.948,0.894,0.949,0.18205984968141398,0.18475343328782456,0.9909432212087277,0.9944269623900701
S-B,4,proportional,f1,600,2000,257;257;86,0.428333;0.428333;0.143333,0.428824;0.428445;0.142731,0.959288685841432,0.9591408655014593,0.959140865501459,0.9931701820974386,40.80351610217037,0.9463947240144557,0.2562799008820758,0.854,0.961,0.8545,0.824,0.2238068959027454,0.260779332329623,0.8732908633585259,0.9827462114909477
S-B,4,proportional,f2,600,2000,257;257;86,0.428333;0.428333;0.143333,0.428824;0.428445;0.142731,3.5629036197771575,3.5633711836326913,3.5633711836326905,3.4623409472113975,589.7644664192356,3.624511830769915,1.0226503966936136,0.887,0.948,0.887,0.9095,0.9099213609397708,0.9914336979170079,0.8897677680287289,1.0314864209701484
S-B,4,proportional,f1,3000,2000,1286;1285;429,0.428667;0.428333;0.143000,0.428824;0.428445;0.142731,0.9591966915253535,0.9591408655014593,0.959140865501459,0.9931701820974386,40.80694492609311,0.9599392217010957,0.1124569333193896,0.929,0.9675,0.929,0.8845,0.10997528424148952,0.11662896284956138,0.9779324492972619,0.9642281863077764
S-B,4,proportional,f2,3000,2000,1286;1285;429,0.428667;0.428333;0.143000,0.428824;0.428445;0.142731,3.563194571495759,3.5633711836326913,3.5633711836326905,3.4623409472113975,590.0411781470252,3.5798672313627016,0.4433743927696123,0.9325,0.953,0.932,0.9545,0.42372876112415553,0.44348663194697885,0.9556906488831323,0.9997469164360744
S-B,4,proportional,f1,15000,2000,6432;6427;2141,0.428800;0.428467;0.142733,0.428824;0.428445;0.142731,0.9591451448792534,0.9591408655014593,0.959140865501459,0.9931701820974386,40.808867643030254,0.9576325019281753,0.051998886554172834,0.935,0.957,0.935,0.838,0.051273141562884615,0.05215928657681216,0.9860430667004354,0.9969248041304569
S-B,4,proportional,f2,15000,2000,6432;6427;2141,0.428800;0.428467;0.142733,0.428824;0.428445;0.142731,3.5633576439747796,3.5633711836326913,3.5633711836326905,3.4623409472113975,590.1963125926516,3.5635304913897943,0.19992408244402224,0.936,0.953,0.936,0.95,0.19586099604962004,0.1983593225424762,0.9796768536099705,1.007888512027011
