scenario,dy,weighting,predictor,n,reps,n_folds,w_realised,w_nominal,alpha_w,alpha_w_nominal,alpha_P,alpha_equal_weight,V_w,mean_alpha_hat,sd_alpha_hat,coverage_alpha_w,coverage_alpha_w_Vw,coverage_alpha_P,coverage_alpha_equal,mean_se_plugin,se_Vw,se_over_sd,sd_sqrtn_over_sqrtVw
S-A,2,data,f2,15000,2000,5453;4815;4732,0.363533;0.321000;0.315467,0.363530;0.320995;0.315475,7.182296151610543,7.182296151610544,7.182296151610543,7.182296151610543,1503.0419124897574,7.185825131409883,0.3164223577487107,0.9485,0.9565,0.9485,0.9485,0.3150765082585402,0.3165482493491061,0.9957466675245519,0.9996022988575858
S-A,2,proportional,f1,600,2000,200;200;200,0.333333;0.333333;0.333333,0.333333;0.333333;0.333333,1.2095196888629767,1.2095196888629767,1.209519688862977,1.2095196888629767,25.19462227637761,1.2049970567718675,0.19910643134665523,0.889,0.9595,0.889,0.889,0.1838113170892201,0.20491714698213034,0.923181214418908,0.9716435851218355
S-A,2,proportional,f2,600,2000,200;200;200,0.333333;0.333333;0.333333,0.333333;0.333333;0.333333,7.182296151610543,7.182296151610543,7.182296151610543,7.182296151610543,1503.0419124897574,7.386404851211286,1.6883820549363995,0.9265,0.941,0.9265,0.9265,1.572041090563609,1.5827412467455304,0.931093223815878,1.0667454698663412
S-A,2,proportional,f1,3000,2000,1000;1000;1000,0.333333;0.333333;0.333333,0.333333;0.333333;0.333333,1.2095196888629767,1.2095196888629767,1.209519688862977,1.2095196888629767,25.19462227637761,1.2082034286441252,0.09201416165723152,0.9225,0.9485,0.9225,0.9225,0.08853442723161979,0.09164173408147187,0.9621826209907304,1.0040639516426932
S-A,2,proportional,f2,3000,2000,1000;1000;1000,0.333333;0.333333;0.333333,0.333333;0.333333;0.333333,7.182296151610543,7.182296151610543,7.182296151610543,7.182296151610543,1503.0419124897574,7.209218369064067,0.7126043162784466,0.938,0.9485,0.938,0.938,0.7026008383599215,0.7078234037031548,0.9859620862658145,1.0067543861226957
S-A,2,proportional,f1,15000,2000,5000;5000;5000,0.333333;0.333333;0.333333,0.333333;0.333333;0.333333,1.2095196888629767,1.2095196888629767,1.209519688862977,1.2095196888629767,25.19462227637761,1.208055360917474,0.04046009551067311,0.9505,0.9515,0.9505,0.9505,0.04037938719582461,0.040983429396426074,0.9980052366701109,0.9872305979889864
S-A,2,proportional,f2,15000,2000,5000;5000;5000,0.333333;0.333333;0.333333,0.333333;0.333333;0.333333,7.182296151610543,7.182296151610543,7.182296151610543,7.182296151610543,1503.0419124897574,7.189019007209898,0.31465219907150765,0.956,0.9525,0.956,0.956,0.3150992828060865,0.3165482493491061,1.0014208822817643,0.9940102329376419
S-A,3,data,f1,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,1.0076499055018873,1.0076499055018873,1.007649905501887,1.0076499055018873,30.827424558220688,1.0088454159891351,0.23013589508855875,0.883,0.962,0.883,0.883,0.19991837511164498,0.2266694530155482,0.8686970584693633,1.0152929388009455
S-A,3,data,f2,600,2000,218;193;189,0.363333;0.321667;0.315000,0.363530;0.320995;0.315475,5.0803958425833,5.080395842583301,5.080395842583299,5.0803958425833,1045.8676825304763,5.258101133555861,1.4553043256816596,0.899,0.9365,0.899,0.899,1.2995393671062907,1.3202699739892068,0.8929674324286715,1.1022778328317544
S-A,3,data,f1,3000,2000,1091;963;946,0.363667;0.321000;0.315333,0.363530;0.320995;0.315475,1.0076499055018873,1.0076499055018873,1.007649905501887,1.0076499055018873,30.82742455822068,1.00770973046181,0.10183947582577707,0.9155,0.954,0.9155,0.9155,0.097292176323712,0.10136966107309209,0.95534836108304,1.0046346682795577
